claim_id_unique,claim_id_original,category,group_id,workshop,Batch
AGlG,AGlG,political science,,Unassigned,misc_before_march
AL1J,AL1J,management,,Unassigned,misc_before_march
AxyY,AxyY,political science,,Unassigned,misc_before_march
AYDj,AYDj,political science,,Unassigned,misc_before_march
AYGG,AYGG,political science,,Unassigned,misc_before_march
AYQG,AYQG,political science,,Unassigned,misc_before_march
B2GK,B2GK,economics,,Unassigned,misc_before_march
BBZK,BBZK,political science,,Unassigned,misc_before_march
BebG,BebG,psychology,,Unassigned,misc_before_march
BlaE,BlaE,economics,,Unassigned,misc_before_march
BPap,BPap,political science,,Unassigned,misc_before_march
BPDk,BPDk,political science,,Unassigned,misc_before_march
BPWd,BPWd,management,,Unassigned,misc_before_march
BxRk,BxRk,political science,,Unassigned,misc_before_march
ByBk,ByBk,political science,,Unassigned,misc_before_march
ByRd,ByRd,political science,,Unassigned,misc_before_march
d2lJ,d2lJ,marketing/org behavior,,Unassigned,misc_before_march
DD12,DD12,management,,Unassigned,misc_before_march
DDj2,DDj2,economics,,Unassigned,misc_before_march
DkVR,DkVR,economics,,Unassigned,misc_before_march
DLBj,DLBj,political science,,Unassigned,misc_before_march
Dq1Y,Dq1Y,political science,,Unassigned,misc_before_march
dqBZ,dqBZ,sociology,,Unassigned,misc_before_march
DV1L,DV1L,education,,Unassigned,misc_before_march
EA9j,EA9j,sociology,,Unassigned,misc_before_march
Ed13,Ed13,political science,,Unassigned,misc_before_march
Ed5X,Ed5X,sociology,,Unassigned,misc_before_march
Ed7P,Ed7P,political science,,Unassigned,misc_before_march
EJWP,EJWP,economics,,Unassigned,misc_before_march
eOQm,eOQm,psychology,,Unassigned,misc_before_march
ERRx,ERRx,health related,,Unassigned,misc_before_march
EVjm,EVjm,political science,,Unassigned,misc_before_march
EVPr,EVPr,political science,,Unassigned,misc_before_march
evzq,evzq,management,,Unassigned,misc_before_march
exBp,exBp,sociology,,Unassigned,misc_before_march
exd7,exd7,marketing/org behavior,,Unassigned,misc_before_march
EXGX,EXGX,economics,,Unassigned,misc_before_march
EXxZ,EXxZ,economics,,Unassigned,misc_before_march
ey4l,ey4l,management,,Unassigned,misc_before_march
EZej,EZej,political science,,Unassigned,misc_before_march
G85O,G85O,political science,,Unassigned,misc_before_march
GO9r,GO9r,political science,,Unassigned,misc_before_march
GOAw,GOAw,economics,,Unassigned,misc_before_march
GOYb,GOYb,political science,,Unassigned,misc_before_march
GOzz,GOzz,economics,,Unassigned,misc_before_march
J7KL,J7KL,sociology,,Unassigned,misc_before_march
J999,J999,political science,,Unassigned,misc_before_march
J9Zk,J9Zk,health related,,Unassigned,misc_before_march
JbvB,JbvB,education,,Unassigned,misc_before_march
JN09,JN09,management,,Unassigned,misc_before_march
Jr4e,Jr4e,political science,,Unassigned,misc_before_march
JrkQ,JrkQ,sociology,,Unassigned,misc_before_march
JrLy,JrLy,marketing/org behavior,,Unassigned,misc_before_march
JRpA,JRpA,political science,,Unassigned,misc_before_march
JRZ9,JRZ9,political science,,Unassigned,misc_before_march
jZRg,jZRg,sociology,,Unassigned,misc_before_march
KapY,KapY,political science,,Unassigned,misc_before_march
Krvd,Krvd,sociology,,Unassigned,misc_before_march
KymO,KymO,economics,,Unassigned,misc_before_march
KZ2D,KZ2D,economics,,Unassigned,misc_before_march
LeB2,LeB2,economics,,Unassigned,misc_before_march
lJ0w,lJ0w,management,,Unassigned,misc_before_march
LPqR,LPqR,public administration,,Unassigned,misc_before_march
LRLx,LRLx,political science,,Unassigned,misc_before_march
LYJz,LYJz,sociology,,Unassigned,misc_before_march
m0PZ,m0PZ,sociology,,Unassigned,misc_before_march
m4NV,m4NV,public administration,,Unassigned,misc_before_march
mD8j,mD8j,psychology,,Unassigned,misc_before_march
mxjm,mxjm,marketing/org behavior,,Unassigned,misc_before_march
mZAV,mZAV,sociology,,Unassigned,misc_before_march
N8DV,N8DV,political science,,Unassigned,misc_before_march
N8zV,N8zV,sociology,,Unassigned,misc_before_march
NaNl,NaNl,political science,,Unassigned,misc_before_march
NeW9,NeW9,economics,,Unassigned,misc_before_march
O823,O823,political science,,Unassigned,misc_before_march
P8rd,P8rd,marketing/org behavior,,Unassigned,misc_before_march
pAY8,pAY8,political science,,Unassigned,misc_before_march
Pbew,Pbew,management,,Unassigned,misc_before_march
PEzz,PEzz,education,,Unassigned,misc_before_march
PkbK,PkbK,economics,,Unassigned,misc_before_march
pNOm,pNOm,criminology,,Unassigned,misc_before_march
PqvK,PqvK,economics,,Unassigned,misc_before_march
Px3J,Px3J,economics,,Unassigned,misc_before_march
Pxp7,Pxp7,political science,,Unassigned,misc_before_march
Q11m,Q11m,marketing/org behavior,,Unassigned,misc_before_march
q5Xz,q5Xz,sociology,,Unassigned,misc_before_march
q8DZ,q8DZ,political science,,Unassigned,misc_before_march
QGla,QGla,marketing/org behavior,,Unassigned,misc_before_march
QjlQ,QjlQ,economics,,Unassigned,misc_before_march
QL41,QL41,political science,,Unassigned,misc_before_march
QO2K,QO2K,health related,,Unassigned,misc_before_march
qqmj,qqmj,education,,Unassigned,misc_before_march
RA87,RA87,economics,,Unassigned,misc_before_march
RAaX,RAaX,economics,,Unassigned,misc_before_march
Rj3v,Rj3v,sociology,,Unassigned,misc_before_march
Rj5L,Rj5L,marketing/org behavior,,Unassigned,misc_before_march
rLjG,rLjG,health related,,Unassigned,misc_before_march
ryJG,ryJG,education,,Unassigned,misc_before_march
Ryy9,Ryy9,political science,,Unassigned,misc_before_march
VRy1,VRy1,public administration,,Unassigned,misc_before_march
Vxwp,Vxwp,sociology,,Unassigned,misc_before_march
w8g7,w8g7,economics,,Unassigned,misc_before_march
WaYe,WaYe,economics,,Unassigned,misc_before_march
we04,we04,criminology,,Unassigned,misc_before_march
weJ4,weJ4,criminology,,Unassigned,misc_before_march
WLae,WLae,management,,Unassigned,misc_before_march
wpe4,wpe4,psychology,,Unassigned,misc_before_march
wZAL,wZAL,economics,,Unassigned,misc_before_march
xeXN,xeXN,public administration,,Unassigned,misc_before_march
xj7N,xj7N,economics,,Unassigned,misc_before_march
xlgN,xlgN,marketing/org behavior,,Unassigned,misc_before_march
xlJJ,xlJJ,marketing/org behavior,,Unassigned,misc_before_march
XOvb,XOvb,political science,,Unassigned,misc_before_march
yAPR,yAPR,sociology,,Unassigned,misc_before_march
YL0W,YL0W,political science,,Unassigned,misc_before_march
yp0w,yp0w,psychology,,Unassigned,misc_before_march
yQGV,yQGV,health related,,Unassigned,misc_before_march
z181,z181,sociology,,Unassigned,misc_before_march
ZeJ7,ZeJ7,psychology,,Unassigned,misc_before_march
zlm2,zlm2,psychology,,Unassigned,misc_before_march
ZND4,ZND4,education,,Unassigned,misc_before_march
ZqN4,ZqN4,management,,Unassigned,misc_before_march
zV1O,zV1O,political science,,Unassigned,misc_before_march
Zxlk,Zxlk,marketing/org behavior,,Unassigned,misc_before_march
pkAj,pkAj,Psychology; Behavioral Sciences; Biomedical Social Sciences,newsouthwales105,AIMOS19,MissingClaimsOne
zzv2,zzv2,Psychology,queensland118,AIMOS19,MissingClaimsOne
z4dO,z4dO,International Relations; Government & Law,southaustralia52,AIMOS19,MissingClaimsOne
qzZz,qzZz,,tasmania39,AIMOS19,MissingClaimsOne
zqwm,zqwm,Education & Educational Research; Rehabilitation,tasmania47,AIMOS19,MissingClaimsOne
rwOd,rwOd,Psychology; Behavioral Sciences; Biomedical Social Sciences,tasmania57,AIMOS19,MissingClaimsOne
yjqm,yjqm,Business & Economics,victoria106,AIMOS19,MissingClaimsOne
mzpZ,mzpZ,Psychology,westernaustralia103,AIMOS19,MissingClaimsOne
yzgG,yzgG,Psychology,westernaustralia103,AIMOS19,MissingClaimsOne
0qY1,0qY1,Psychology,queensland46,Bus,MissingClaimsOne
1X9W,1X9W,Psychology; Behavioral Sciences; Biomedical Social Sciences,queensland46,Bus,MissingClaimsOne
38k7,38k7,Psychology,queensland46,Bus,MissingClaimsOne
7RJP,7RJP,Psychology,queensland46,Bus,MissingClaimsOne
9Abm,9Abm,Psychology,queensland46,Bus,MissingClaimsOne
9jD4,9jD4,Psychology; Behavioral Sciences; Biomedical Social Sciences,queensland46,Bus,MissingClaimsOne
AaY9,AaY9,Psychology,queensland46,Bus,MissingClaimsOne
AvOr,AvOr,Psychology,queensland46,Bus,MissingClaimsOne
b4Kk,b4Kk,Psychology,queensland46,Bus,MissingClaimsOne
bgzk,bgzk,Psychology,queensland46,Bus,MissingClaimsOne
bRYA,bRYA,Psychology,queensland46,Bus,MissingClaimsOne
D2Vr,D2Vr,Psychology,queensland46,Bus,MissingClaimsOne
JA3y,JA3y,Psychology,queensland46,Bus,MissingClaimsOne
pdjK,pdjK,Psychology,queensland46,Bus,MissingClaimsOne
qGdz,qGdz,Psychology,queensland46,Bus,MissingClaimsOne
QNLm,QNLm,Psychology,queensland46,Bus,MissingClaimsOne
rvyb,rvyb,Psychology,queensland46,Bus,MissingClaimsOne
VpyV,VpyV,Psychology,queensland46,Bus,MissingClaimsOne
z9Ny,z9Ny,Psychology,queensland46,Bus,MissingClaimsOne
B80d,B80d,Psychology,queensland59,Bus,MissingClaimsOne
j1bd,j1bd,Psychology,queensland59,Bus,MissingClaimsOne
q4X2,q4X2,Psychology,queensland59,Bus,MissingClaimsOne
XNVQ,XNVQ,Psychology,queensland59,Bus,MissingClaimsOne
9O2Y,9O2Y,Business & Economics; Psychology,rescue_1,meta,MissingClaimsOne
A9WO,A9WO,Psychology,rescue_1,meta,MissingClaimsOne
BPyk,BPyk,Education & Educational Research; Rehabilitation,rescue_1,meta,MissingClaimsOne
NYEV,NYEV,Education & Educational Research; Rehabilitation,rescue_1,meta,MissingClaimsOne
pZk4,pZk4,Psychology,rescue_1,meta,MissingClaimsOne
05L8,05L8,Business & Economics,ra_group,ra,MissingClaimsOne
0emk,0emk,,ra_group,ra,MissingClaimsOne
1geY,1geY,Business & Economics,ra_group,ra,MissingClaimsOne
2ww1,2ww1,Business & Economics,ra_group,ra,MissingClaimsOne
3Bgd,3Bgd,Business & Economics,ra_group,ra,MissingClaimsOne
3rKd,3rKd,,ra_group,ra,MissingClaimsOne
4RBv,4RBv,Public Administration,ra_group,ra,MissingClaimsOne
5aND,5aND,Public Administration,ra_group,ra,MissingClaimsOne
5BJD,5BJD,Business & Economics,ra_group,ra,MissingClaimsOne
5PE2,5PE2,Business & Economics; Operations Research & Management Science,ra_group,ra,MissingClaimsOne
7eY9,7eY9,Business & Economics; Operations Research & Management Science,ra_group,ra,MissingClaimsOne
8A9e,8A9e,Business & Economics,ra_group,ra,MissingClaimsOne
8Jla,8Jla,Business & Economics,ra_group,ra,MissingClaimsOne
8zx0,8zx0,Sociology,ra_group,ra,MissingClaimsOne
a2Yx,a2Yx,Business & Economics; Mathematics; Mathematical Methods In Social Sciences,ra_group,ra,MissingClaimsOne
ad9Y,ad9Y,,ra_group,ra,MissingClaimsOne
aJ4B,aJ4B,Public Administration,ra_group,ra,MissingClaimsOne
allY,allY,Business & Economics,ra_group,ra,MissingClaimsOne
Bybj,Bybj,Government & Law,ra_group,ra,MissingClaimsOne
dk4l,dk4l,Education & Educational Research; Psychology,ra_group,ra,MissingClaimsOne
E1Gx,E1Gx,Government & Law; Public Administration,ra_group,ra,MissingClaimsOne
e7G9,e7G9,Business & Economics; Mathematics; Mathematical Methods In Social Sciences,ra_group,ra,MissingClaimsOne
eD1p,eD1p,,ra_group,ra,MissingClaimsOne
edVg,edVg,Sociology,ra_group,ra,MissingClaimsOne
EOOx,EOOx,,ra_group,ra,MissingClaimsOne
EYOr,EYOr,Business & Economics,ra_group,ra,MissingClaimsOne
G5RD,G5RD,Business & Economics,ra_group,ra,MissingClaimsOne
geOO,geOO,,ra_group,ra,MissingClaimsOne
gLGg,gLGg,Public Administration,ra_group,ra,MissingClaimsOne
JkW2,JkW2,Public Administration,ra_group,ra,MissingClaimsOne
JX5A,JX5A,Psychology,ra_group,ra,MissingClaimsOne
kYK2,kYK2,Education & Educational Research,ra_group,ra,MissingClaimsOne
l7KZ,l7KZ,Development Studies; Business & Economics,ra_group,ra,MissingClaimsOne
Lm9B,Lm9B,Business & Economics,ra_group,ra,MissingClaimsOne
LXJZ,LXJZ,Business & Economics,ra_group,ra,MissingClaimsOne
m00L,m00L,Education & Educational Research,ra_group,ra,MissingClaimsOne
NllW,NllW,Public Administration,ra_group,ra,MissingClaimsOne
O1yy,O1yy,Business & Economics; Mathematics; Mathematical Methods In Social Sciences,ra_group,ra,MissingClaimsOne
Orkm,Orkm,Sociology,ra_group,ra,MissingClaimsOne
p4K0,p4K0,Business & Economics,ra_group,ra,MissingClaimsOne
Pj5r,Pj5r,Public Administration,ra_group,ra,MissingClaimsOne
RlVV,RlVV,Business & Economics,ra_group,ra,MissingClaimsOne
RqNb,RqNb,Psychology,ra_group,ra,MissingClaimsOne
v0NG,v0NG,Sociology,ra_group,ra,MissingClaimsOne
V0wD,V0wD,Sociology,ra_group,ra,MissingClaimsOne
v2yO,v2yO,Education & Educational Research; Psychology,ra_group,ra,MissingClaimsOne
v72D,v72D,Business & Economics,ra_group,ra,MissingClaimsOne
VBx1,VBx1,Business & Economics; Mathematics; Mathematical Methods In Social Sciences,ra_group,ra,MissingClaimsOne
vGNa,vGNa,Business & Economics; Operations Research & Management Science,ra_group,ra,MissingClaimsOne
VO21,VO21,Business & Economics; Operations Research & Management Science,ra_group,ra,MissingClaimsOne
VWQp,VWQp,Business & Economics,ra_group,ra,MissingClaimsOne
wjBZ,wjBZ,Business & Economics; Mathematics; Mathematical Methods In Social Sciences,ra_group,ra,MissingClaimsOne
Wl4z,Wl4z,Business & Economics,ra_group,ra,MissingClaimsOne
WQkr,WQkr,Business & Economics; Operations Research & Management Science,ra_group,ra,MissingClaimsOne
x50O,x50O,Business & Economics,ra_group,ra,MissingClaimsOne
xJ8J,xJ8J,Psychology,ra_group,ra,MissingClaimsOne
xJz3,xJz3,Business & Economics,ra_group,ra,MissingClaimsOne
Ylag,Ylag,Business & Economics,ra_group,ra,MissingClaimsOne
zLVm,zLVm,Business & Economics,ra_group,ra,MissingClaimsOne
W4xp,W4xp,Sociology,rescue_1,remote,MissingClaimsOne
2GKO,2GKO,,rescue_unicorn,rescue_unicorn,MissingClaimsOne
2PWG,2PWG,,rescue_unicorn,rescue_unicorn,MissingClaimsOne
2rYQ,2rYQ,,rescue_unicorn,rescue_unicorn,MissingClaimsOne
3zNd,3zNd,Sociology,rescue_unicorn,rescue_unicorn,MissingClaimsOne
4Q2L,4Q2L,International Relations; Government & Law,rescue_unicorn,rescue_unicorn,MissingClaimsOne
51G2,51G2,Criminology & Penology,rescue_unicorn,rescue_unicorn,MissingClaimsOne
5Kgq,5Kgq,Demography,rescue_unicorn,rescue_unicorn,MissingClaimsOne
8vyR,8vyR,Education & Educational Research,rescue_unicorn,rescue_unicorn,MissingClaimsOne
9p01,9p01,,rescue_unicorn,rescue_unicorn,MissingClaimsOne
9rVa,9rVa,Sociology,rescue_unicorn,rescue_unicorn,MissingClaimsOne
AX11,AX11,Family Studies; Sociology,rescue_unicorn,rescue_unicorn,MissingClaimsOne
bVrX,bVrX,Government & Law,rescue_unicorn,rescue_unicorn,MissingClaimsOne
daAm,daAm,Sociology,rescue_unicorn,rescue_unicorn,MissingClaimsOne
dGX2,dGX2,Sociology,rescue_unicorn,rescue_unicorn,MissingClaimsOne
e2Jl,e2Jl,Sociology,rescue_unicorn,rescue_unicorn,MissingClaimsOne
evwK,evwK,Business & Economics,rescue_unicorn,rescue_unicorn,MissingClaimsOne
EZa3,EZa3,Government & Law,rescue_unicorn,rescue_unicorn,MissingClaimsOne
Gv3O,Gv3O,Business & Economics,rescue_unicorn,rescue_unicorn,MissingClaimsOne
GZpz,GZpz,Education & Educational Research; Psychology,rescue_unicorn,rescue_unicorn,MissingClaimsOne
Jp1e,Jp1e,Sociology,rescue_unicorn,rescue_unicorn,MissingClaimsOne
k7wj,k7wj,International Relations; Government & Law,rescue_unicorn,rescue_unicorn,MissingClaimsOne
KDek,KDek,Sociology,rescue_unicorn,rescue_unicorn,MissingClaimsOne
kj0W,kj0W,,rescue_unicorn,rescue_unicorn,MissingClaimsOne
lpzL,lpzL,Government & Law,rescue_unicorn,rescue_unicorn,MissingClaimsOne
Lr9G,Lr9G,Sociology,rescue_unicorn,rescue_unicorn,MissingClaimsOne
m8V1,m8V1,Government & Law,rescue_unicorn,rescue_unicorn,MissingClaimsOne
mLzb,mLzb,Psychology,rescue_unicorn,rescue_unicorn,MissingClaimsOne
mqL1,mqL1,Business & Economics; Operations Research & Management Science,rescue_unicorn,rescue_unicorn,MissingClaimsOne
OYgd,OYgd,Sociology,rescue_unicorn,rescue_unicorn,MissingClaimsOne
P7Vb,P7Vb,Government & Law,rescue_unicorn,rescue_unicorn,MissingClaimsOne
p8L8,p8L8,Sociology,rescue_unicorn,rescue_unicorn,MissingClaimsOne
P9Vr,P9Vr,Family Studies; Sociology,rescue_unicorn,rescue_unicorn,MissingClaimsOne
pOmj,pOmj,Business & Economics; Operations Research & Management Science,rescue_unicorn,rescue_unicorn,MissingClaimsOne
PyR7,PyR7,Sociology,rescue_unicorn,rescue_unicorn,MissingClaimsOne
QDzm,QDzm,,rescue_unicorn,rescue_unicorn,MissingClaimsOne
Qy5d,Qy5d,,rescue_unicorn,rescue_unicorn,MissingClaimsOne
RL5V,RL5V,,rescue_unicorn,rescue_unicorn,MissingClaimsOne
Rrgp,Rrgp,Sociology,rescue_unicorn,rescue_unicorn,MissingClaimsOne
vkAL,vkAL,Sociology,rescue_unicorn,rescue_unicorn,MissingClaimsOne
VrD1,VrD1,,rescue_unicorn,rescue_unicorn,MissingClaimsOne
Vxam,Vxam,Sociology,rescue_unicorn,rescue_unicorn,MissingClaimsOne
w0pd,w0pd,,rescue_unicorn,rescue_unicorn,MissingClaimsOne
WVaX,WVaX,Government & Law,rescue_unicorn,rescue_unicorn,MissingClaimsOne
WXJZ,WXJZ,Development Studies; Business & Economics,rescue_unicorn,rescue_unicorn,MissingClaimsOne
xDlW,xDlW,,rescue_unicorn,rescue_unicorn,MissingClaimsOne
xgEL,xgEL,,rescue_unicorn,rescue_unicorn,MissingClaimsOne
y2vO,y2vO,,rescue_unicorn,rescue_unicorn,MissingClaimsOne
Y47W,Y47W,Psychology,rescue_unicorn,rescue_unicorn,MissingClaimsOne
Y8jQ,Y8jQ,Government & Law,rescue_unicorn,rescue_unicorn,MissingClaimsOne
yBP4,yBP4,Psychology,rescue_unicorn,rescue_unicorn,MissingClaimsOne
ylrG,ylrG,Family Studies; Sociology,rescue_unicorn,rescue_unicorn,MissingClaimsOne
YP2Q,YP2Q,,rescue_unicorn,rescue_unicorn,MissingClaimsOne
ywEm,ywEm,Sociology,rescue_unicorn,rescue_unicorn,MissingClaimsOne
AKmO,AKmO,Business & Economics,rescue_bluegroper,SIPS2020,MissingClaimsOne
lrOy,lrOy,Business & Economics,rescue_bluegroper,SIPS2020,MissingClaimsOne
raG8,raG8,Sociology,rescue_bluegroper,SIPS2020,MissingClaimsOne
w8Zp,w8Zp,Business & Economics,rescue_bluegroper,SIPS2020,MissingClaimsOne
YqEp,YqEp,Business & Economics; Mathematics; Mathematical Methods In Social Sciences,rescue_bluetonguelizard,SIPS2020,MissingClaimsOne
8KvX,8KvX,Business & Economics; Mathematics; Mathematical Methods In Social Sciences,rescue_boxjellyfish,SIPS2020,MissingClaimsOne
OXOm,OXOm,Business & Economics,rescue_boxjellyfish,SIPS2020,MissingClaimsOne
Dper,Dper,Business & Economics,rescue_echidna,SIPS2020,MissingClaimsOne
vl2L,vl2L,Psychology; Business & Economics,rescue_echidna,SIPS2020,MissingClaimsOne
YROp,YROp,Business & Economics; Operations Research & Management Science,rescue_echidna,SIPS2020,MissingClaimsOne
OgzB,OgzB,Business & Economics,rescue_ganggang,SIPS2020,MissingClaimsOne
kX1X (2),kX1X,Business & Economics,rescue_greateasternpelican,SIPS2020,MissingClaimsOne
7kXG,7kXG,Business & Economics,rescue_greateasternpelican,SIPS2020,MissingClaimsOne
1574,1574,Business & Economics; Mathematics; Mathematical Methods In Social Sciences,rescue_greatwhiteshark,SIPS2020,MissingClaimsOne
1990,1990,Business & Economics,rescue_greatwhiteshark,SIPS2020,MissingClaimsOne
72X2,72X2,Business & Economics; Mathematics; Mathematical Methods In Social Sciences,rescue_greatwhiteshark,SIPS2020,MissingClaimsOne
plj0,plj0,Sociology,rescue_greatwhiteshark,SIPS2020,MissingClaimsOne
BbLg,BbLg,Business & Economics; Mathematics; Mathematical Methods In Social Sciences,rescue_kangaroo,SIPS2020,MissingClaimsOne
PXdb,PXdb,Business & Economics,rescue_kangaroo,SIPS2020,MissingClaimsOne
QAJK,QAJK,Business & Economics; Psychology,rescue_kangaroo,SIPS2020,MissingClaimsOne
y0Pm,y0Pm,Business & Economics,rescue_kangaroo,SIPS2020,MissingClaimsOne
DmgR,DmgR,Business & Economics,rescue_koala,SIPS2020,MissingClaimsOne
VlQA,VlQA,Business & Economics,rescue_koala,SIPS2020,MissingClaimsOne
85g9,85g9,Business & Economics,rescue_platypus,SIPS2020,MissingClaimsOne
a24x,a24x,Business & Economics; Mathematics; Mathematical Methods In Social Sciences,rescue_platypus,SIPS2020,MissingClaimsOne
Qlx1,Qlx1,Business & Economics,rescue_platypus,SIPS2020,MissingClaimsOne
VAAD,VAAD,Business & Economics,rescue_quokka,SIPS2020,MissingClaimsOne
Z28k,Z28k,Business & Economics,rescue_superbfairywren,SIPS2020,MissingClaimsOne
gQPz,gQPz,Business & Economics; Psychology,rescue_tasmaniandevil,SIPS2020,MissingClaimsOne
PV8d,PV8d,Business & Economics; Psychology,rescue_tasmaniandevil,SIPS2020,MissingClaimsOne
zG2w,zG2w,Business & Economics; Psychology,rescue_wedgetailedeagle,SIPS2020,MissingClaimsOne
LJqz,LJqz,Business & Economics; Psychology,rescue_wombat,SIPS2020,MissingClaimsOne
REd7,REd7,Business & Economics,rescue_wombat,SIPS2020,MissingClaimsOne
xwW3,xwW3,Business & Economics,rescue_wombat,SIPS2020,MissingClaimsOne
4VR8,4VR8,Education & Educational Research; Psychology,,,MissingClaimsOne
5Ebl,5Ebl,Business & Economics,,,MissingClaimsOne
5zK3,5zK3,Business & Economics,,,MissingClaimsOne
7p23,7p23,Education & Educational Research,,,MissingClaimsOne
9dmq,9dmq,Business & Economics,,,MissingClaimsOne
9Kp4,9Kp4,Education & Educational Research; Rehabilitation,,,MissingClaimsOne
A1a1,A1a1,Education & Educational Research; Psychology,,,MissingClaimsOne
AYJj,AYJj,Psychology,,,MissingClaimsOne
bLp1,bLp1,,,,MissingClaimsOne
d148,d148,Government & Law,,,MissingClaimsOne
DbwY,DbwY,Sociology,,,MissingClaimsOne
dkql,dkql,Education & Educational Research; Psychology,,,MissingClaimsOne
dr0J,dr0J,Education & Educational Research,,,MissingClaimsOne
dYb8,dYb8,Public Administration,,,MissingClaimsOne
elAp,elAp,Education & Educational Research,,,MissingClaimsOne
EqV3,EqV3,Business & Economics,,,MissingClaimsOne
gO3g,gO3g,International Relations; Government & Law,,,MissingClaimsOne
gXjA,gXjA,Business & Economics; Operations Research & Management Science,,,MissingClaimsOne
jD7K,jD7K,Government & Law,,,MissingClaimsOne
JpKL,JpKL,Education & Educational Research,,,MissingClaimsOne
jR7Q,jR7Q,International Relations; Government & Law,,,MissingClaimsOne
jyyb,jyyb,,,,MissingClaimsOne
kaYX,kaYX,International Relations; Government & Law,,,MissingClaimsOne
KppW,KppW,Education & Educational Research,,,MissingClaimsOne
L0Kr,L0Kr,Psychology,,,MissingClaimsOne
l28z,l28z,International Relations; Government & Law,,,MissingClaimsOne
lmKv,lmKv,Government & Law,,,MissingClaimsOne
lVO2,lVO2,Education & Educational Research; Psychology,,,MissingClaimsOne
m4KV,m4KV,Psychology,,,MissingClaimsOne
Na2V,Na2V,,,,MissingClaimsOne
NKqW,NKqW,Business & Economics,,,MissingClaimsOne
NPVj,NPVj,Education & Educational Research; Psychology,,,MissingClaimsOne
OeGv,OeGv,Government & Law,,,MissingClaimsOne
PPZb,PPZb,Business & Economics,,,MissingClaimsOne
QAAl,QAAl,Education & Educational Research; Psychology,,,MissingClaimsOne
Qj2l,Qj2l,Education & Educational Research,,,MissingClaimsOne
qOvw,qOvw,Education & Educational Research; Psychology,,,MissingClaimsOne
qvXj,qvXj,Education & Educational Research,,,MissingClaimsOne
r0ke,r0ke,Business & Economics,,,MissingClaimsOne
RpLp,RpLp,Psychology,,,MissingClaimsOne
RXlb,RXlb,Business & Economics,,,MissingClaimsOne
RZDX,RZDX,Psychology,,,MissingClaimsOne
VYre,VYre,Education & Educational Research; Rehabilitation,,,MissingClaimsOne
wB8v,wB8v,Education & Educational Research; Rehabilitation,,,MissingClaimsOne
wNKW,wNKW,Business & Economics,,,MissingClaimsOne
Wr02,Wr02,Education & Educational Research,,,MissingClaimsOne
xavJ,xavJ,International Relations; Government & Law,,,MissingClaimsOne
XYmr,XYmr,Government & Law,,,MissingClaimsOne
Yalx,Yalx,Education & Educational Research; Psychology,,,MissingClaimsOne
yG1Q,yG1Q,Sociology,,,MissingClaimsOne
YNDQ,YNDQ,Government & Law,,,MissingClaimsOne
a2j1,a2j1,Government & Law,queensland98,AIMOS19,MissingClaimsThree
z33m,z33m,Sociology,southaustralia52,AIMOS19,MissingClaimsThree
bkZN,bkZN,Sociology,westernaustralia66,AIMOS19,MissingClaimsThree
P837,P837,Sociology,westernaustralia66,AIMOS19,MissingClaimsThree
5rOl,5rOl,Psychology; Behavioral Sciences; Biomedical Social Sciences,queensland46,Bus,MissingClaimsThree
aNZY,aNZY,Psychology,queensland46,Bus,MissingClaimsThree
bqO4,bqO4,Psychology,queensland46,Bus,MissingClaimsThree
d5Xl,d5Xl,Psychology,queensland46,Bus,MissingClaimsThree
JvbQ,JvbQ,Psychology,queensland46,Bus,MissingClaimsThree
l3O2,l3O2,Psychology,queensland46,Bus,MissingClaimsThree
PNPz,PNPz,Psychology,queensland46,Bus,MissingClaimsThree
Q2Z1,Q2Z1,Psychology,queensland46,Bus,MissingClaimsThree
rv38,rv38,Psychology,queensland46,Bus,MissingClaimsThree
VjYA,VjYA,Psychology,queensland46,Bus,MissingClaimsThree
ylwV,ylwV,Psychology,queensland46,Bus,MissingClaimsThree
97gX,97gX,Psychology,queensland59,Bus,MissingClaimsThree
9Aqq,9Aqq,Psychology,queensland59,Bus,MissingClaimsThree
AvWY,AvWY,Psychology; Behavioral Sciences; Biomedical Social Sciences,queensland59,Bus,MissingClaimsThree
Dajj,Dajj,Psychology; Behavioral Sciences; Biomedical Social Sciences,queensland59,Bus,MissingClaimsThree
ez87,ez87,Psychology,queensland59,Bus,MissingClaimsThree
yypJ,yypJ,Psychology; Behavioral Sciences; Biomedical Social Sciences,queensland59,Bus,MissingClaimsThree
9qvZ,9qvZ,Business & Economics; Operations Research & Management Science,rescue_1,meta,MissingClaimsThree
BByQ,BByQ,,rescue_1,meta,MissingClaimsThree
Dyjy,Dyjy,Business & Economics; Psychology,rescue_1,meta,MissingClaimsThree
G0l4,G0l4,Psychology,rescue_1,meta,MissingClaimsThree
jDWN,jDWN,Psychology; Business & Economics,rescue_1,meta,MissingClaimsThree
JlEk,JlEk,Public Administration,rescue_1,meta,MissingClaimsThree
lrBy,lrBy,Psychology,rescue_1,meta,MissingClaimsThree
OrYv,OrYv,Education & Educational Research,rescue_1,meta,MissingClaimsThree
RLOX,RLOX,Business & Economics; Psychology,rescue_1,meta,MissingClaimsThree
XYbz,XYbz,Business & Economics,rescue_1,meta,MissingClaimsThree
1OWE,1OWE,Business & Economics,ra_group,ra,MissingClaimsThree
2QO1,2QO1,Education & Educational Research,ra_group,ra,MissingClaimsThree
